# Atmospheric CO2 record,,,,,,,,,,
# Observed data set for Hector backend,,,,,,,,,,
# from ???,,,,,,,,,,
# Changes from original: added component, variable, type, value and units,,,,,,,
year,CO2,EFOSS,component,vtag,value,units,type,scenario,model,ctag
1764,277.951,0.003,carbon_cycle,atmos_CO2,277.951,ppmv CO2,Observed,historical,Marland,carbon_cycle
1765,277.98,0.003,carbon_cycle,atmos_CO2,277.98,ppmv CO2,Observed,historical,Marland,carbon_cycle
1766,278.011,0.003,carbon_cycle,atmos_CO2,278.011,ppmv CO2,Observed,historical,Marland,carbon_cycle
1767,278.045,0.003,carbon_cycle,atmos_CO2,278.045,ppmv CO2,Observed,historical,Marland,carbon_cycle
1768,278.082,0.003,carbon_cycle,atmos_CO2,278.082,ppmv CO2,Observed,historical,Marland,carbon_cycle
1769,278.121,0.003,carbon_cycle,atmos_CO2,278.121,ppmv CO2,Observed,historical,Marland,carbon_cycle
1770,278.164,0.003,carbon_cycle,atmos_CO2,278.164,ppmv CO2,Observed,historical,Marland,carbon_cycle
1771,278.21,0.004,carbon_cycle,atmos_CO2,278.21,ppmv CO2,Observed,historical,Marland,carbon_cycle
1772,278.258,0.004,carbon_cycle,atmos_CO2,278.258,ppmv CO2,Observed,historical,Marland,carbon_cycle
1773,278.31,0.004,carbon_cycle,atmos_CO2,278.31,ppmv CO2,Observed,historical,Marland,carbon_cycle
1774,278.364,0.004,carbon_cycle,atmos_CO2,278.364,ppmv CO2,Observed,historical,Marland,carbon_cycle
1775,278.422,0.004,carbon_cycle,atmos_CO2,278.422,ppmv CO2,Observed,historical,Marland,carbon_cycle
1776,278.483,0.004,carbon_cycle,atmos_CO2,278.483,ppmv CO2,Observed,historical,Marland,carbon_cycle
1777,278.546,0.004,carbon_cycle,atmos_CO2,278.546,ppmv CO2,Observed,historical,Marland,carbon_cycle
1778,278.613,0.004,carbon_cycle,atmos_CO2,278.613,ppmv CO2,Observed,historical,Marland,carbon_cycle
1779,278.683,0.004,carbon_cycle,atmos_CO2,278.683,ppmv CO2,Observed,historical,Marland,carbon_cycle
1780,278.756,0.004,carbon_cycle,atmos_CO2,278.756,ppmv CO2,Observed,historical,Marland,carbon_cycle
1781,278.833,0.005,carbon_cycle,atmos_CO2,278.833,ppmv CO2,Observed,historical,Marland,carbon_cycle
1782,278.912,0.005,carbon_cycle,atmos_CO2,278.912,ppmv CO2,Observed,historical,Marland,carbon_cycle
1783,278.995,0.005,carbon_cycle,atmos_CO2,278.995,ppmv CO2,Observed,historical,Marland,carbon_cycle
1784,279.081,0.005,carbon_cycle,atmos_CO2,279.081,ppmv CO2,Observed,historical,Marland,carbon_cycle
1785,279.171,0.005,carbon_cycle,atmos_CO2,279.171,ppmv CO2,Observed,historical,Marland,carbon_cycle
1786,279.263,0.005,carbon_cycle,atmos_CO2,279.263,ppmv CO2,Observed,historical,Marland,carbon_cycle
1787,279.359,0.005,carbon_cycle,atmos_CO2,279.359,ppmv CO2,Observed,historical,Marland,carbon_cycle
1788,279.459,0.005,carbon_cycle,atmos_CO2,279.459,ppmv CO2,Observed,historical,Marland,carbon_cycle
1789,279.561,0.005,carbon_cycle,atmos_CO2,279.561,ppmv CO2,Observed,historical,Marland,carbon_cycle
1790,279.668,0.005,carbon_cycle,atmos_CO2,279.668,ppmv CO2,Observed,historical,Marland,carbon_cycle
1791,279.777,0.006,carbon_cycle,atmos_CO2,279.777,ppmv CO2,Observed,historical,Marland,carbon_cycle
1792,279.89,0.006,carbon_cycle,atmos_CO2,279.89,ppmv CO2,Observed,historical,Marland,carbon_cycle
1793,280.007,0.006,carbon_cycle,atmos_CO2,280.007,ppmv CO2,Observed,historical,Marland,carbon_cycle
1794,280.127,0.006,carbon_cycle,atmos_CO2,280.127,ppmv CO2,Observed,historical,Marland,carbon_cycle
1795,280.25,0.006,carbon_cycle,atmos_CO2,280.25,ppmv CO2,Observed,historical,Marland,carbon_cycle
1796,280.377,0.006,carbon_cycle,atmos_CO2,280.377,ppmv CO2,Observed,historical,Marland,carbon_cycle
1797,280.507,0.007,carbon_cycle,atmos_CO2,280.507,ppmv CO2,Observed,historical,Marland,carbon_cycle
1798,280.64,0.007,carbon_cycle,atmos_CO2,280.64,ppmv CO2,Observed,historical,Marland,carbon_cycle
1799,280.776,0.007,carbon_cycle,atmos_CO2,280.776,ppmv CO2,Observed,historical,Marland,carbon_cycle
1800,280.914,0.008,carbon_cycle,atmos_CO2,280.914,ppmv CO2,Observed,historical,Marland,carbon_cycle
1801,281.054,0.008,carbon_cycle,atmos_CO2,281.054,ppmv CO2,Observed,historical,Marland,carbon_cycle
1802,281.195,0.01,carbon_cycle,atmos_CO2,281.195,ppmv CO2,Observed,historical,Marland,carbon_cycle
1803,281.337,0.009,carbon_cycle,atmos_CO2,281.337,ppmv CO2,Observed,historical,Marland,carbon_cycle
1804,281.479,0.009,carbon_cycle,atmos_CO2,281.479,ppmv CO2,Observed,historical,Marland,carbon_cycle
1805,281.622,0.009,carbon_cycle,atmos_CO2,281.622,ppmv CO2,Observed,historical,Marland,carbon_cycle
1806,281.764,0.01,carbon_cycle,atmos_CO2,281.764,ppmv CO2,Observed,historical,Marland,carbon_cycle
1807,281.906,0.01,carbon_cycle,atmos_CO2,281.906,ppmv CO2,Observed,historical,Marland,carbon_cycle
1808,282.047,0.01,carbon_cycle,atmos_CO2,282.047,ppmv CO2,Observed,historical,Marland,carbon_cycle
1809,282.185,0.01,carbon_cycle,atmos_CO2,282.185,ppmv CO2,Observed,historical,Marland,carbon_cycle
1810,282.322,0.01,carbon_cycle,atmos_CO2,282.322,ppmv CO2,Observed,historical,Marland,carbon_cycle
1811,282.457,0.011,carbon_cycle,atmos_CO2,282.457,ppmv CO2,Observed,historical,Marland,carbon_cycle
1812,282.588,0.011,carbon_cycle,atmos_CO2,282.588,ppmv CO2,Observed,historical,Marland,carbon_cycle
1813,282.717,0.011,carbon_cycle,atmos_CO2,282.717,ppmv CO2,Observed,historical,Marland,carbon_cycle
1814,282.841,0.011,carbon_cycle,atmos_CO2,282.841,ppmv CO2,Observed,historical,Marland,carbon_cycle
1815,282.962,0.012,carbon_cycle,atmos_CO2,282.962,ppmv CO2,Observed,historical,Marland,carbon_cycle
1816,283.078,0.013,carbon_cycle,atmos_CO2,283.078,ppmv CO2,Observed,historical,Marland,carbon_cycle
1817,283.19,0.014,carbon_cycle,atmos_CO2,283.19,ppmv CO2,Observed,historical,Marland,carbon_cycle
1818,283.297,0.014,carbon_cycle,atmos_CO2,283.297,ppmv CO2,Observed,historical,Marland,carbon_cycle
1819,283.401,0.014,carbon_cycle,atmos_CO2,283.401,ppmv CO2,Observed,historical,Marland,carbon_cycle
1820,283.502,0.014,carbon_cycle,atmos_CO2,283.502,ppmv CO2,Observed,historical,Marland,carbon_cycle
1821,283.6,0.014,carbon_cycle,atmos_CO2,283.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1822,283.696,0.015,carbon_cycle,atmos_CO2,283.696,ppmv CO2,Observed,historical,Marland,carbon_cycle
1823,283.79,0.016,carbon_cycle,atmos_CO2,283.79,ppmv CO2,Observed,historical,Marland,carbon_cycle
1824,283.883,0.016,carbon_cycle,atmos_CO2,283.883,ppmv CO2,Observed,historical,Marland,carbon_cycle
1825,283.974,0.017,carbon_cycle,atmos_CO2,283.974,ppmv CO2,Observed,historical,Marland,carbon_cycle
1826,284.066,0.017,carbon_cycle,atmos_CO2,284.066,ppmv CO2,Observed,historical,Marland,carbon_cycle
1827,284.157,0.018,carbon_cycle,atmos_CO2,284.157,ppmv CO2,Observed,historical,Marland,carbon_cycle
1828,284.249,0.018,carbon_cycle,atmos_CO2,284.249,ppmv CO2,Observed,historical,Marland,carbon_cycle
1829,284.343,0.018,carbon_cycle,atmos_CO2,284.343,ppmv CO2,Observed,historical,Marland,carbon_cycle
1830,284.438,0.024,carbon_cycle,atmos_CO2,284.438,ppmv CO2,Observed,historical,Marland,carbon_cycle
1831,284.535,0.023,carbon_cycle,atmos_CO2,284.535,ppmv CO2,Observed,historical,Marland,carbon_cycle
1832,284.3,0.023,carbon_cycle,atmos_CO2,284.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1833,284.1,0.024,carbon_cycle,atmos_CO2,284.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1834,284,0.024,carbon_cycle,atmos_CO2,284,ppmv CO2,Observed,historical,Marland,carbon_cycle
1835,283.8,0.025,carbon_cycle,atmos_CO2,283.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1836,283.7,0.029,carbon_cycle,atmos_CO2,283.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1837,283.5,0.029,carbon_cycle,atmos_CO2,283.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1838,283.4,0.03,carbon_cycle,atmos_CO2,283.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1839,283.4,0.031,carbon_cycle,atmos_CO2,283.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1840,283.4,0.033,carbon_cycle,atmos_CO2,283.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1841,283.4,0.034,carbon_cycle,atmos_CO2,283.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1842,283.5,0.036,carbon_cycle,atmos_CO2,283.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1843,283.6,0.037,carbon_cycle,atmos_CO2,283.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1844,283.7,0.039,carbon_cycle,atmos_CO2,283.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1845,283.9,0.043,carbon_cycle,atmos_CO2,283.9,ppmv CO2,Observed,historical,Marland,carbon_cycle
1846,284.1,0.043,carbon_cycle,atmos_CO2,284.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1847,284.2,0.046,carbon_cycle,atmos_CO2,284.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1848,284.4,0.047,carbon_cycle,atmos_CO2,284.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1849,284.6,0.05,carbon_cycle,atmos_CO2,284.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1850,284.7,0.054,carbon_cycle,atmos_CO2,284.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1851,284.9,0.054,carbon_cycle,atmos_CO2,284.9,ppmv CO2,Observed,historical,Marland,carbon_cycle
1852,285,0.057,carbon_cycle,atmos_CO2,285,ppmv CO2,Observed,historical,Marland,carbon_cycle
1853,285.1,0.059,carbon_cycle,atmos_CO2,285.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1854,285.3,0.069,carbon_cycle,atmos_CO2,285.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1855,285.4,0.071,carbon_cycle,atmos_CO2,285.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1856,285.6,0.076,carbon_cycle,atmos_CO2,285.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1857,285.7,0.077,carbon_cycle,atmos_CO2,285.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1858,285.9,0.078,carbon_cycle,atmos_CO2,285.9,ppmv CO2,Observed,historical,Marland,carbon_cycle
1859,286.1,0.083,carbon_cycle,atmos_CO2,286.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1860,286.2,0.091,carbon_cycle,atmos_CO2,286.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1861,286.4,0.095,carbon_cycle,atmos_CO2,286.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1862,286.5,0.097,carbon_cycle,atmos_CO2,286.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1863,286.6,0.104,carbon_cycle,atmos_CO2,286.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1864,286.8,0.112,carbon_cycle,atmos_CO2,286.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1865,286.9,0.119,carbon_cycle,atmos_CO2,286.9,ppmv CO2,Observed,historical,Marland,carbon_cycle
1866,287,0.122,carbon_cycle,atmos_CO2,287,ppmv CO2,Observed,historical,Marland,carbon_cycle
1867,287.1,0.13,carbon_cycle,atmos_CO2,287.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1868,287.2,0.135,carbon_cycle,atmos_CO2,287.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1869,287.4,0.142,carbon_cycle,atmos_CO2,287.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1870,287.5,0.147,carbon_cycle,atmos_CO2,287.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1871,287.7,0.156,carbon_cycle,atmos_CO2,287.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1872,287.9,0.173,carbon_cycle,atmos_CO2,287.9,ppmv CO2,Observed,historical,Marland,carbon_cycle
1873,288.1,0.184,carbon_cycle,atmos_CO2,288.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1874,288.4,0.174,carbon_cycle,atmos_CO2,288.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1875,288.7,0.188,carbon_cycle,atmos_CO2,288.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1876,289,0.191,carbon_cycle,atmos_CO2,289,ppmv CO2,Observed,historical,Marland,carbon_cycle
1877,289.4,0.194,carbon_cycle,atmos_CO2,289.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1878,289.8,0.196,carbon_cycle,atmos_CO2,289.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1879,290.2,0.21,carbon_cycle,atmos_CO2,290.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1880,290.7,0.236,carbon_cycle,atmos_CO2,290.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1881,291.2,0.243,carbon_cycle,atmos_CO2,291.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1882,291.7,0.256,carbon_cycle,atmos_CO2,291.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1883,292.1,0.272,carbon_cycle,atmos_CO2,292.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1884,292.6,0.275,carbon_cycle,atmos_CO2,292.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1885,293,0.277,carbon_cycle,atmos_CO2,293,ppmv CO2,Observed,historical,Marland,carbon_cycle
1886,293.3,0.281,carbon_cycle,atmos_CO2,293.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1887,293.6,0.295,carbon_cycle,atmos_CO2,293.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1888,293.8,0.327,carbon_cycle,atmos_CO2,293.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1889,294,0.327,carbon_cycle,atmos_CO2,294,ppmv CO2,Observed,historical,Marland,carbon_cycle
1890,294.2,0.356,carbon_cycle,atmos_CO2,294.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1891,294.3,0.372,carbon_cycle,atmos_CO2,294.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1892,294.5,0.374,carbon_cycle,atmos_CO2,294.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1893,294.6,0.37,carbon_cycle,atmos_CO2,294.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1894,294.7,0.383,carbon_cycle,atmos_CO2,294.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1895,294.8,0.406,carbon_cycle,atmos_CO2,294.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1896,294.9,0.419,carbon_cycle,atmos_CO2,294.9,ppmv CO2,Observed,historical,Marland,carbon_cycle
1897,295,0.44,carbon_cycle,atmos_CO2,295,ppmv CO2,Observed,historical,Marland,carbon_cycle
1898,295.2,0.465,carbon_cycle,atmos_CO2,295.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1899,295.5,0.507,carbon_cycle,atmos_CO2,295.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1900,295.8,0.534,carbon_cycle,atmos_CO2,295.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1901,296.1,0.552,carbon_cycle,atmos_CO2,296.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1902,296.5,0.566,carbon_cycle,atmos_CO2,296.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1903,296.8,0.617,carbon_cycle,atmos_CO2,296.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1904,297.2,0.624,carbon_cycle,atmos_CO2,297.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1905,297.6,0.663,carbon_cycle,atmos_CO2,297.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1906,298.1,0.707,carbon_cycle,atmos_CO2,298.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1907,298.5,0.784,carbon_cycle,atmos_CO2,298.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1908,298.9,0.75,carbon_cycle,atmos_CO2,298.9,ppmv CO2,Observed,historical,Marland,carbon_cycle
1909,299.3,0.785,carbon_cycle,atmos_CO2,299.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1910,299.7,0.819,carbon_cycle,atmos_CO2,299.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1911,300.1,0.836,carbon_cycle,atmos_CO2,300.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1912,300.4,0.879,carbon_cycle,atmos_CO2,300.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1913,300.8,0.943,carbon_cycle,atmos_CO2,300.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1914,301.1,0.85,carbon_cycle,atmos_CO2,301.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1915,301.4,0.838,carbon_cycle,atmos_CO2,301.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1916,301.7,0.901,carbon_cycle,atmos_CO2,301.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1917,302.1,0.955,carbon_cycle,atmos_CO2,302.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1918,302.4,0.936,carbon_cycle,atmos_CO2,302.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1919,302.7,0.806,carbon_cycle,atmos_CO2,302.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1920,303,0.932,carbon_cycle,atmos_CO2,303,ppmv CO2,Observed,historical,Marland,carbon_cycle
1921,303.4,0.803,carbon_cycle,atmos_CO2,303.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1922,303.8,0.845,carbon_cycle,atmos_CO2,303.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1923,304.1,0.97,carbon_cycle,atmos_CO2,304.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1924,304.5,0.963,carbon_cycle,atmos_CO2,304.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1925,305,0.975,carbon_cycle,atmos_CO2,305,ppmv CO2,Observed,historical,Marland,carbon_cycle
1926,305.4,0.983,carbon_cycle,atmos_CO2,305.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1927,305.8,1.062,carbon_cycle,atmos_CO2,305.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1928,306.3,1.055,carbon_cycle,atmos_CO2,306.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1929,306.8,1.135,carbon_cycle,atmos_CO2,306.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1930,307.2,1.043,carbon_cycle,atmos_CO2,307.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1931,307.7,0.932,carbon_cycle,atmos_CO2,307.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1932,308.2,0.84,carbon_cycle,atmos_CO2,308.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1933,308.6,0.886,carbon_cycle,atmos_CO2,308.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1934,309,0.965,carbon_cycle,atmos_CO2,309,ppmv CO2,Observed,historical,Marland,carbon_cycle
1935,309.4,1.018,carbon_cycle,atmos_CO2,309.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1936,309.8,1.119,carbon_cycle,atmos_CO2,309.8,ppmv CO2,Observed,historical,Marland,carbon_cycle
1937,310,1.198,carbon_cycle,atmos_CO2,310,ppmv CO2,Observed,historical,Marland,carbon_cycle
1938,310.2,1.13,carbon_cycle,atmos_CO2,310.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1939,310.3,1.179,carbon_cycle,atmos_CO2,310.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1940,310.4,1.288,carbon_cycle,atmos_CO2,310.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1941,310.4,1.322,carbon_cycle,atmos_CO2,310.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1942,310.3,1.331,carbon_cycle,atmos_CO2,310.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1943,310.2,1.381,carbon_cycle,atmos_CO2,310.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1944,310.1,1.376,carbon_cycle,atmos_CO2,310.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1945,310.1,1.153,carbon_cycle,atmos_CO2,310.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1946,310.1,1.228,carbon_cycle,atmos_CO2,310.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1947,310.2,1.38,carbon_cycle,atmos_CO2,310.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1948,310.3,1.455,carbon_cycle,atmos_CO2,310.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1949,310.5,1.403,carbon_cycle,atmos_CO2,310.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1950,310.7,1.612,carbon_cycle,atmos_CO2,310.7,ppmv CO2,Observed,historical,Marland,carbon_cycle
1951,311.1,1.748,carbon_cycle,atmos_CO2,311.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1952,311.5,1.774,carbon_cycle,atmos_CO2,311.5,ppmv CO2,Observed,historical,Marland,carbon_cycle
1953,311.9,1.817,carbon_cycle,atmos_CO2,311.9,ppmv CO2,Observed,historical,Marland,carbon_cycle
1954,312.4,1.838,carbon_cycle,atmos_CO2,312.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1955,313,2.013,carbon_cycle,atmos_CO2,313,ppmv CO2,Observed,historical,Marland,carbon_cycle
1956,313.6,2.146,carbon_cycle,atmos_CO2,313.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1957,314.2,2.236,carbon_cycle,atmos_CO2,314.2,ppmv CO2,Observed,historical,Marland,carbon_cycle
1958,314.9,2.294,carbon_cycle,atmos_CO2,314.9,ppmv CO2,Observed,historical,Marland,carbon_cycle
1959,315.39,2.422,carbon_cycle,atmos_CO2,315.39,ppmv CO2,Observed,historical,Marland,carbon_cycle
1960,316.32,2.534,carbon_cycle,atmos_CO2,316.32,ppmv CO2,Observed,historical,Marland,carbon_cycle
1961,317.06,2.549,carbon_cycle,atmos_CO2,317.06,ppmv CO2,Observed,historical,Marland,carbon_cycle
1962,317.86,2.651,carbon_cycle,atmos_CO2,317.86,ppmv CO2,Observed,historical,Marland,carbon_cycle
1963,318.4,2.797,carbon_cycle,atmos_CO2,318.4,ppmv CO2,Observed,historical,Marland,carbon_cycle
1964,318.93,2.951,carbon_cycle,atmos_CO2,318.93,ppmv CO2,Observed,historical,Marland,carbon_cycle
1965,319.44,3.086,carbon_cycle,atmos_CO2,319.44,ppmv CO2,Observed,historical,Marland,carbon_cycle
1966,320.78,3.242,carbon_cycle,atmos_CO2,320.78,ppmv CO2,Observed,historical,Marland,carbon_cycle
1967,321.59,3.346,carbon_cycle,atmos_CO2,321.59,ppmv CO2,Observed,historical,Marland,carbon_cycle
1968,322.46,3.518,carbon_cycle,atmos_CO2,322.46,ppmv CO2,Observed,historical,Marland,carbon_cycle
1969,324.03,3.726,carbon_cycle,atmos_CO2,324.03,ppmv CO2,Observed,historical,Marland,carbon_cycle
1970,325.09,3.998,carbon_cycle,atmos_CO2,325.09,ppmv CO2,Observed,historical,Marland,carbon_cycle
1971,325.73,4.147,carbon_cycle,atmos_CO2,325.73,ppmv CO2,Observed,historical,Marland,carbon_cycle
1972,326.87,4.31,carbon_cycle,atmos_CO2,326.87,ppmv CO2,Observed,historical,Marland,carbon_cycle
1973,329.09,4.54,carbon_cycle,atmos_CO2,329.09,ppmv CO2,Observed,historical,Marland,carbon_cycle
1974,329.66,4.548,carbon_cycle,atmos_CO2,329.66,ppmv CO2,Observed,historical,Marland,carbon_cycle
1975,330.56,4.52,carbon_cycle,atmos_CO2,330.56,ppmv CO2,Observed,historical,Marland,carbon_cycle
1976,331.56,4.78,carbon_cycle,atmos_CO2,331.56,ppmv CO2,Observed,historical,Marland,carbon_cycle
1977,333.31,4.921,carbon_cycle,atmos_CO2,333.31,ppmv CO2,Observed,historical,Marland,carbon_cycle
1978,334.91,4.989,carbon_cycle,atmos_CO2,334.91,ppmv CO2,Observed,historical,Marland,carbon_cycle
1979,336.26,5.268,carbon_cycle,atmos_CO2,336.26,ppmv CO2,Observed,historical,Marland,carbon_cycle
1980,338.1,5.212,carbon_cycle,atmos_CO2,338.1,ppmv CO2,Observed,historical,Marland,carbon_cycle
1981,339.34,5.047,carbon_cycle,atmos_CO2,339.34,ppmv CO2,Observed,historical,Marland,carbon_cycle
1982,340.56,5.006,carbon_cycle,atmos_CO2,340.56,ppmv CO2,Observed,historical,Marland,carbon_cycle
1983,342.21,4.985,carbon_cycle,atmos_CO2,342.21,ppmv CO2,Observed,historical,Marland,carbon_cycle
1984,343.81,5.162,carbon_cycle,atmos_CO2,343.81,ppmv CO2,Observed,historical,Marland,carbon_cycle
1985,345.3,5.313,carbon_cycle,atmos_CO2,345.3,ppmv CO2,Observed,historical,Marland,carbon_cycle
1986,346.72,5.473,carbon_cycle,atmos_CO2,346.72,ppmv CO2,Observed,historical,Marland,carbon_cycle
1987,348.44,5.61,carbon_cycle,atmos_CO2,348.44,ppmv CO2,Observed,historical,Marland,carbon_cycle
1988,350.96,5.812,carbon_cycle,atmos_CO2,350.96,ppmv CO2,Observed,historical,Marland,carbon_cycle
1989,352.59,5.933,carbon_cycle,atmos_CO2,352.59,ppmv CO2,Observed,historical,Marland,carbon_cycle
1990,353.83,6.007,carbon_cycle,atmos_CO2,353.83,ppmv CO2,Observed,historical,Marland,carbon_cycle
1991,355.18,6.091,carbon_cycle,atmos_CO2,355.18,ppmv CO2,Observed,historical,Marland,carbon_cycle
1992,355.88,5.98,carbon_cycle,atmos_CO2,355.88,ppmv CO2,Observed,historical,Marland,carbon_cycle
1993,356.6,5.979,carbon_cycle,atmos_CO2,356.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1994,358.03,6.087,carbon_cycle,atmos_CO2,358.03,ppmv CO2,Observed,historical,Marland,carbon_cycle
1995,358.85,6.204,carbon_cycle,atmos_CO2,358.85,ppmv CO2,Observed,historical,Marland,carbon_cycle
1996,361.62,6.322,carbon_cycle,atmos_CO2,361.62,ppmv CO2,Observed,historical,Marland,carbon_cycle
1997,362.76,6.424,carbon_cycle,atmos_CO2,362.76,ppmv CO2,Observed,historical,Marland,carbon_cycle
1998,365.48,6.382,carbon_cycle,atmos_CO2,365.48,ppmv CO2,Observed,historical,Marland,carbon_cycle
1999,367.56,6.356,carbon_cycle,atmos_CO2,367.56,ppmv CO2,Observed,historical,Marland,carbon_cycle
2000,368.77,6.519,carbon_cycle,atmos_CO2,368.77,ppmv CO2,Observed,historical,Marland,carbon_cycle
