;  Annual mean volcanic stratospheric aerosol forcing (W/m2),
; M. Meinshausen S. Smith et al. (2011) The RCP GHG concentrations and their extension from 1765 to 2300 DOI 10.1007/s10584-011-0156-z Climatic Change.,
Date,SV
1765,0
1766,0.11622211
1767,0.23244422
1768,0.19744422
1769,0.13181922
1770,0.12744422
1771,0.17994422
1772,0.21494422
1773,0.22806922
1774,0.23244422
1775,0.23244422
1776,0.23244422
1777,0.23244422
1778,0.23244422
1779,0.23244422
1780,0.23244422
1781,0.23244422
1782,0.21056922
1783,0.11869422
1784,0.044319219
1785,0.10119422
1786,0.18869422
1787,0.22369422
1788,0.22806922
1789,0.12306922
1790,-0.025680781
1791,0.009319219
1792,0.14056922
1793,0.20619422
1794,0.21494422
1795,0.19306922
1796,0.18869422
1797,0.21056922
1798,0.22806922
1799,0.23244422
1800,0.23244422
1801,0.23244422
1802,0.23244422
1803,0.23244422
1804,0.23244422
1805,0.23244422
1806,0.23244422
1807,0.23244422
1808,-0.25755578
1809,-1.3994308
1810,-1.8019308
1811,-1.0100558
1812,-0.34068078
1813,-0.14818078
1814,-0.67755578
1815,-2.1519308
1816,-2.6638058
1817,-1.4956808
1818,-0.36255578
1819,0.092444219
1820,0.22369422
1821,0.23244422
1822,0.23244422
1823,0.23244422
1824,0.23244422
1825,0.23244422
1826,0.23244422
1827,0.23244422
1828,0.22806922
1829,0.19306922
1830,-0.021305781
1831,-0.39755578
1832,-0.48505578
1833,-0.18318078
1834,-0.34505578
1835,-0.98818078
1836,-0.94880578
1837,-0.34943078
1838,0.044319219
1839,0.17994422
1840,0.17994422
1841,0.17556922
1842,0.18869422
1843,0.16681922
1844,0.15369422
1845,0.18431922
1846,0.21494422
1847,0.22806922
1848,0.23244422
1849,0.21599422
1850,0.19200464
1851,0.19303276
1852,0.20879734
1853,0.2235338
1854,0.2317588
1855,0.10118693
1856,-0.35667141
1857,-0.61027557
1858,-0.29772557
1859,0.028190052
1860,0.15053693
1861,0.13957026
1862,0.05526401
1863,0.06760151
1864,0.15087964
1865,0.19851609
1866,0.21907859
1867,0.22901714
1868,0.23107339
1869,0.22284839
1870,0.21873589
1871,0.2194213
1872,0.2070838
1873,0.19337547
1874,0.20125776
1875,0.19406089
1876,0.15293589
1877,0.14848068
1878,0.18035255
1879,0.20194318
1880,0.21565151
1881,0.22284839
1882,0.11112547
1883,-0.80253495
1884,-1.5373016
1885,-0.94407349
1886,-0.44851724
1887,-0.32137245
1888,-0.21102036
1889,-0.27750578
1890,-0.3316537
1891,-0.2617412
1892,-0.087645365
1893,0.060061927
1894,0.16938589
1895,0.1618463
1896,0.016537969
1897,-0.064683906
1898,0.037785885
1899,0.15053693
1900,0.20194318
1901,0.19166193
1902,-0.25694328
1903,-0.65105786
1904,-0.3563287
1905,0.002144219
1906,0.1001588
1907,0.076169219
1908,0.087821302
1909,0.15396401
1910,0.18892026
1911,0.19508901
1912,-0.048576615
1913,-0.15652974
1914,0.055606719
1915,0.15944734
1916,0.18754943
1917,0.19611714
1918,0.20194318
1919,0.1947463
1920,0.11078276
1921,0.095703594
1922,0.18103797
1923,0.20228589
1924,0.18926297
1925,0.18926297
1926,0.19714526
1927,0.19508901
1928,0.14573901
1929,0.096046302
1930,0.12174943
1931,0.14642443
1932,0.11489526
1933,0.12380568
1934,0.16218901
1935,0.16938589
1936,0.18069526
1937,0.17932443
1938,0.16321714
1939,0.16390255
1940,0.18377964
1941,0.19303276
1942,0.17144214
1943,0.16630151
1944,0.18926297
1945,0.19988693
1946,0.2070838
1947,0.1988588
1948,0.19680255
1949,0.18926297
1950,0.18686401
1951,0.1906338
1952,0.18446505
1953,0.17555464
1954,0.18069526
1955,0.2029713
1956,0.2153088
1957,0.22559005
1958,0.23073068
1959,0.22696089
1960,0.15190776
1961,0.060747344
1962,-0.013963073
1963,-0.49546828
1964,-0.85325578
1965,-0.53248078
1966,-0.15001828
1967,-0.021502656
1968,-0.22027349
1969,-0.29635474
1970,-0.055430781
1971,0.11420984
1972,0.15327859
1973,0.10632755
1974,-0.040694323
1975,-0.14110786
1976,-0.017390156
1977,0.13408693
1978,0.10906922
1979,0.093990052
1980,0.14813797
1981,0.079596302
1982,-0.59142661
1983,-0.87621724
1984,-0.32000161
1985,-0.023216198
1986,0.035044219
1987,0.065887969
1988,0.10598484
1989,0.12928901
1990,0.12654734
1991,-0.81487245
1992,-1.4197527
1993,-0.68190161
1994,-0.13151203
1995,0.058691094
1996,0.12380568
1997,0.15327859
1998,0.18754943
1999,0.21633693
2000,0.22867443
2001,0.23244422
2002,0.23244422
2003,0.23244422
2004,0.23244422
2005,0.18401834
2006,0.06779623
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,0
2055,0
2056,0
2057,0
2058,0
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,0
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,0
2337,0
2338,0
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2364,0
2365,0
2366,0
2367,0
2368,0
2369,0
2370,0
2371,0
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,0
2389,0
2390,0
2391,0
2392,0
2393,0
2394,0
2395,0
2396,0
2397,0
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,0
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0
2429,0
2430,0
2431,0
2432,0
2433,0
2434,0
2435,0
2436,0
2437,0
2438,0
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,0
2461,0
2462,0
2463,0
2464,0
2465,0
2466,0
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,0
2491,0
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,0
