# Historical CO2 record derived from a spline fit (75 year cutoff) of the Law Dome ,,,,,,,
# from http://cdiac.ornl.gov/ftp/trends/co2/lawdome.smoothed.yr75,,,,,,,
Year,value,vtag,units,type,ctag,scenario,model
1010,279.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1015,279.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1020,279.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1025,279.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1030,279.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1035,280,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1040,280.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1045,280.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1050,280.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1055,280.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1060,280.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1065,281.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1070,281.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1075,281.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1080,281.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1085,281.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1090,282.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1095,282.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1100,282.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1105,282.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1110,282.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1115,283,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1120,283.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1125,283.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1130,283.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1135,283.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1140,283.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1145,283.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1150,283.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1155,284,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1160,284,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1165,284.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1170,284.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1175,284.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1180,284,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1185,284,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1190,283.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1195,283.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1200,283.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1205,283.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1210,283.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1215,283,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1220,282.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1225,282.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1230,282.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1235,282.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1240,282,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1245,281.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1250,281.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1255,281.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1260,282,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1265,282.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1270,282.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1275,282.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1280,282.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1285,282.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1290,282.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1295,282.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1300,283,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1305,283.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1310,283.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1315,283.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1320,283.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1325,283.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1330,283.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1335,282.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1340,282.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1345,282.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1350,282.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1355,281.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1360,281.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1365,281.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1370,281,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1375,280.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1380,280.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1385,280.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1390,280.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1395,280.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1400,280.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1405,280.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1410,280.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1415,280.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1420,280.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1425,280.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1430,280.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1435,280.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1440,280.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1445,280.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1450,280.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1455,280.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1460,280.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1465,280.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1470,280.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1475,280.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1480,281,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1485,281.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1490,281.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1495,281.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1500,282.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1505,282.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1510,282.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1515,282.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1520,283.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1525,283.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1530,283.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1535,283.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1540,283.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1545,283,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1550,282.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1555,282.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1560,282.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1565,281.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1570,281.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1575,280.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1580,279.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1585,278.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1590,278,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1595,277.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1600,276.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1605,275.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1610,275.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1615,275.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1620,275.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1625,275.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1630,275.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1635,275.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1640,276.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1645,276.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1650,276.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1655,276.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1660,276.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1665,276.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1670,276.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1675,276.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1680,276.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1685,276.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1690,276.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1695,276.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1700,276.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1705,276.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1710,276.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1715,277,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1720,277,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1725,277,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1730,277,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1735,276.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1740,276.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1745,276.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1750,277,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1755,277.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1760,277.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1765,278,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1770,278.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1775,279.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1780,280.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1785,280.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1790,281.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1795,282.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1800,282.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1805,283.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1810,283.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1815,284,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1820,284.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1825,284.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1830,284.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1835,284.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1840,284.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1845,284.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1850,285.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1855,285.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1860,286.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1865,287.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1870,288.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1875,289.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1880,290.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1885,292.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1890,293.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1895,295.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1900,296.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1905,298.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1910,299.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1915,301.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1920,303.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1925,304.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1930,306.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1935,308,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1940,309.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1945,310.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1950,312,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1955,314.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1960,316.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1965,320.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1970,324.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1975,329.4,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
